t,x,y,fh,fv,r,s,frame:
0,-273,104,0,0,0,-79,0
1,-273,104,0,0,0,-79,0
2,-273,104,0,0,0,-79,0
3,-273,103,0,0,0,-79,0
4,-273,103,0,0,0,-79,0
5,-273,103,0,0,0,-79,0
6,-273,103,0,0,0,-79,0
7,-273,103,0,0,0,-79,0
8,-273,103,0,0,0,-79,0
9,-273,103,0,0,0,-79,0
10,-273,103,0,0,0,-79,0
11,-273,103,0,0,0,-79,0
12,-273,103,0,0,0,-79,0
13,-273,103,0,0,0,-79,0
14,-273,103,0,0,0,-79,0
15,-273,103,0,0,0,-79,0
16,-273,103,0,0,0,-79,0
17,-273,103,0,0,0,-79,0
18,-273,103,0,0,0,-79,0
19,-273,103,0,0,0,-79,0
20,-273,103,0,0,0,-79,0
21,-273,103,0,0,0,-79,0
22,-273,103,0,0,0,-79,0
23,-273,103,0,0,0,-79,0
24,-273,103,0,0,0,-79,0
25,-273,103,0,0,0,-79,0
26,-273,103,0,0,0,-79,0
27,-273,103,0,0,0,-79,0
28,-273,103,0,0,0,-79,0
29,-273,103,0,0,0,-79,0
30,-273,103,0,0,0,-79,0
31,-273,103,0,0,0,-79,0
32,-273,103,0,0,0,-79,0
33,-273,103,0,0,0,-79,0
34,-273,103,0,0,0,-79,0
35,-273,103,0,0,0,-79,0
36,-273,103,0,0,0,-79,0
37,-273,103,0,0,0,-79,0
38,-273,103,0,0,0,-79,0
39,-273,103,0,0,0,-79,0
40,-273,103,0,0,0,-79,0
41,-273,103,0,0,0,-79,0
42,-273,103,0,0,0,-79,0
43,-273,103,0,0,0,-79,0
44,-273,103,0,0,0,-79,0
45,-273,103,0,0,0,-79,0
46,-273,103,0,0,0,-79,0
47,-273,103,0,0,0,-79,0
48,-273,103,0,0,0,-79,0
49,-273,103,0,0,0,-79,0
50,-273,103,0,0,0,-79,0
51,-273,103,0,0,0,-79,0
52,-273,103,0,0,0,-79,0
53,-273,103,0,0,0,-79,0
54,-273,103,0,0,0,-79,0
55,-273,103,0,0,0,-79,0
56,-273,103,0,0,0,-79,0
57,-273,103,0,0,0,-79,0
58,-273,103,0,0,0,-79,0
59,-273,103,0,0,0,-79,0
60,-273,103,0,0,0,-79,0
61,-273,103,0,0,0,-79,0
62,-273,103,0,0,0,-79,0
63,-273,103,0,0,0,-79,0
64,-273,103,0,0,0,-79,0
65,-273,103,0,0,0,-79,0
66,-273,103,0,0,0,-79,0
67,-273,103,0,0,0,-79,0
68,-273,103,0,0,0,-79,0
69,-273,103,0,0,0,-79,0
70,-273,103,0,0,0,-79,0
71,-273,103,0,0,0,-79,0
72,-273,103,0,0,0,-79,0
73,-273,103,0,0,0,-79,0
74,-273,103,0,0,0,-79,0
75,-273,103,0,0,0,-79,0
76,-273,103,0,0,0,-79,0
77,-273,103,0,0,0,-79,0
78,-273,103,0,0,0,-79,0
79,-273,102,0,0,0,-79,0
80,-273,101,0,0,0,-79,0
81,-273,101,0,0,0,-79,0
82,-273,101,0,0,0,-79,0
83,-273,101,0,0,0,-79,0
84,-273,101,0,0,0,-79,0
85,-273,101,0,0,0,-79,0
86,-273,102,0,0,0,-79,0
87,-274,105,0,0,0,-79,0
88,-274,109,0,0,0,-79,0
89,-274,111,0,0,0,-79,0
90,-274,113,0,0,0,-79,0
91,-274,114,0,0,0,-79,0
92,-274,114,0,0,0,-79,0
93,-274,114,0,0,0,-79,0
94,-274,114,0,0,0,-79,0
95,-274,114,0,0,0,-79,0
96,-274,114,0,0,0,-79,0
97,-274,113,0,0,0,-79,0
98,-274,112,0,0,0,-79,0
99,-274,111,0,0,0,-79,0
100,-274,110,0,0,0,-79,0
101,-274,110,0,0,0,-79,0
102,-274,110,0,0,0,-79,0
103,-274,110,0,0,0,-79,0
104,-274,110,0,0,0,-79,0
105,-274,110,0,0,0,-79,0
106,-274,110,0,0,0,-79,0
107,-274,111,0,0,0,-79,0
108,-274,111,0,0,0,-79,0
109,-274,111,0,0,0,-79,0
110,-274,111,0,0,0,-79,0
111,-274,111,0,0,0,-79,0
112,-274,111,0,0,0,-79,0
113,-274,111,0,0,0,-79,0
114,-274,111,0,0,0,-79,0
115,-274,111,0,0,0,-79,0
116,-274,110,0,0,0,-79,0
117,-274,109,0,0,0,-79,0
118,-274,109,0,0,0,-79,0
119,-274,109,0,0,0,-79,0
120,-274,109,0,0,0,-79,0
121,-274,109,0,0,0,-79,0
122,-274,109,0,0,0,-79,0
123,-274,109,0,0,0,-79,0
124,-274,110,0,0,0,-79,0
125,-274,111,0,0,0,-79,0
126,-274,111,0,0,0,-79,0
127,-274,111,0,0,0,-79,0
128,-274,111,0,0,0,-79,0
129,-274,111,0,0,0,-79,0
