t,x,y,fh,fv,r,s,frame:
0,225,89,0,0,0,-108,1
1,225,89,0,0,0,-108,1
2,225,89,0,0,0,-108,1
3,225,89,0,0,0,-108,1
4,225,89,0,0,0,-108,1
5,225,89,0,0,0,-108,1
6,225,89,0,0,0,-108,1
7,225,89,0,0,0,-108,1
8,225,89,0,0,0,-108,1
9,225,89,0,0,0,-108,1
10,225,89,0,0,0,-108,1
11,225,89,0,0,0,-108,1
12,225,89,0,0,0,-108,1
13,225,89,0,0,0,-108,1
14,225,89,0,0,0,-108,1
15,225,89,0,0,0,-108,1
16,225,89,0,0,0,-108,1
17,225,89,0,0,0,-108,1
18,225,89,0,0,0,-108,1
19,225,89,0,0,0,-108,1
20,225,89,0,0,0,-108,1
21,225,89,0,0,0,-108,1
22,225,89,0,0,0,-108,1
23,225,89,0,0,0,-108,1
24,225,89,0,0,0,-108,1
25,225,89,0,0,0,-108,1
26,225,89,0,0,0,-108,1
27,225,89,0,0,0,-108,1
28,225,89,0,0,0,-108,1
29,225,89,0,0,0,-108,1
30,225,89,0,0,0,-108,1
31,225,89,0,0,0,-108,1
32,225,89,0,0,0,-108,1
33,225,89,0,0,0,-108,1
34,225,89,0,0,0,-108,1
35,225,89,0,0,0,-108,1
36,225,89,0,0,0,-108,1
37,225,89,0,0,0,-108,1
38,225,89,0,0,0,-108,1
39,225,89,0,0,0,-108,1
40,225,89,0,0,0,-108,1
41,225,89,0,0,0,-108,1
42,225,89,0,0,0,-108,1
43,225,89,0,0,0,-108,1
44,225,89,0,0,0,-108,0
45,225,89,0,0,0,-108,0
46,225,89,0,0,0,-108,0
47,225,89,0,0,0,-108,0
48,225,89,0,0,7,-108,0
49,225,89,0,0,14,-108,0
50,225,89,0,0,21,-108,0
51,223,77,0,0,28,-108,0
52,218,61,0,0,35,-108,0
53,216,48,0,0,42,-108,0
54,213,36,0,0,49,-108,0
55,210,30,0,0,56,-108,0
56,209,24,0,0,63,-108,0
57,207,18,0,0,70,-108,0
58,202,11,0,0,77,-108,0
59,197,4,0,0,84,-108,0
60,184,-11,0,0,91,-108,0
61,180,-15,0,0,98,-108,0
62,170,-25,0,0,105,-108,0
63,164,-31,0,0,112,-108,0
64,159,-36,0,0,119,-108,0
65,155,-39,0,0,126,-108,0
66,150,-44,0,0,133,-108,0
67,142,-52,0,0,140,-108,0
68,134,-58,0,0,147,-108,0
69,127,-64,0,0,154,-108,0
70,120,-71,0,0,161,-108,0
71,110,-77,0,0,168,-108,0
72,104,-81,0,0,175,-108,0
73,100,-84,0,0,182,-108,0
74,95,-86,0,0,189,-108,0
75,91,-87,0,0,196,-108,0
76,84,-90,0,0,203,-108,0
77,73,-95,0,0,210,-108,0
78,62,-99,0,0,217,-108,0
79,51,-103,0,0,224,-108,0
80,43,-105,0,0,231,-108,0
81,36,-108,0,0,238,-108,0
82,28,-109,0,0,245,-108,0
83,25,-110,0,0,252,-108,0
84,18,-111,0,0,259,-108,0
85,10,-112,0,0,266,-108,0
86,1,-114,0,0,273,-108,0
87,-10,-114,0,0,280,-108,0
88,-24,-115,0,0,287,-108,0
89,-35,-116,0,0,294,-108,0
90,-42,-116,0,0,301,-108,0
91,-46,-116,0,0,308,-108,0
92,-47,-116,0,0,315,-108,0
93,-49,-116,0,0,322,-108,0
94,-55,-115,0,0,329,-108,0
95,-65,-113,0,0,336,-108,0
96,-75,-111,0,0,343,-108,0
97,-87,-110,0,0,350,-108,0
98,-98,-108,0,0,357,-108,0
99,-105,-107,0,0,364,-108,0
100,-109,-106,0,0,371,-108,0
101,-109,-106,0,0,378,-108,0
102,-109,-106,0,0,385,-108,0
103,-114,-102,0,0,392,-108,0
104,-118,-100,0,0,399,-108,0
105,-124,-98,0,0,406,-108,0
106,-129,-95,0,0,413,-108,0
107,-133,-93,0,0,420,-108,0
108,-138,-90,0,0,427,-108,0
109,-143,-86,0,0,434,-108,0
110,-147,-83,0,0,441,-108,0
111,-153,-78,0,0,448,-108,0
112,-158,-73,0,0,455,-108,0
113,-162,-69,0,0,462,-108,0
114,-164,-67,0,0,469,-108,0
115,-167,-64,0,0,476,-108,0
116,-169,-61,0,0,483,-108,0
117,-171,-57,0,0,490,-108,0
118,-174,-52,0,0,497,-108,0
119,-177,-47,0,0,504,-108,0
120,-180,-41,0,0,511,-108,0
121,-181,-38,0,0,518,-108,0
122,-182,-38,0,0,525,-108,0
123,-182,-38,0,0,532,-108,0
124,-182,-38,0,0,539,-108,0
125,-182,-38,0,0,546,-108,0
126,-182,-38,0,0,553,-108,0
127,-182,-38,0,0,560,-108,0
128,-182,-38,0,0,560,-108,0
129,-182,-38,0,0,560,-108,0
130,-182,-38,0,0,560,-108,0
131,-183,-38,0,0,560,-108,0
132,-304,66,0,0,756,-108,0
133,-304,66,0,0,756,-108,0
134,-304,66,0,0,756,-108,0
135,-304,66,0,0,756,-108,0
136,-304,66,0,0,756,-108,0
137,-304,65,0,0,756,-108,0
138,-304,65,0,0,756,-108,0
139,-304,65,0,0,756,-108,0
140,-304,65,0,0,756,-108,0
141,-304,65,0,0,756,-108,0
142,-304,65,0,0,756,-108,0
143,-304,65,0,0,756,-108,0
144,-304,65,0,0,756,-108,0
145,-304,65,0,0,756,-108,0
146,-304,65,0,0,756,-108,0
147,-304,65,0,0,756,-108,0
148,-304,65,0,0,756,-108,0
149,-304,65,0,0,756,-108,0
150,-304,65,0,0,756,-108,0
151,-304,65,0,0,756,-108,0
152,-304,65,0,0,756,-108,0
153,-304,65,0,0,756,-108,0
154,-304,65,0,0,756,-108,0
155,-304,65,0,0,756,-108,0
156,-304,65,0,0,756,-108,0
157,-304,65,0,0,756,-108,0
158,-304,65,0,0,756,-108,0
159,-304,65,0,0,756,-108,0
160,-304,65,0,0,756,-108,0
161,-304,65,0,0,756,-108,0
162,-304,65,0,0,756,-108,0
163,-304,65,0,0,756,-108,0
164,-304,65,0,0,756,-108,0
165,-304,65,0,0,756,-108,0
166,-304,65,0,0,756,-108,0
167,-304,65,0,0,756,-108,0
168,-304,65,0,0,756,-108,0
169,-304,65,0,0,756,-108,0
170,-304,65,0,0,756,-108,0
171,-304,65,0,0,756,-108,0
172,-304,65,0,0,756,-108,0
173,-304,65,0,0,756,-108,0
174,-304,65,0,0,756,-108,0
175,-304,65,0,0,756,-108,0
176,-304,65,0,0,756,-108,0
177,-304,65,0,0,756,-108,0
178,-304,65,0,0,756,-108,0
179,-304,65,0,0,756,-108,0
180,-304,65,0,0,756,-108,0
181,-304,65,0,0,756,-108,0
182,-304,65,0,0,756,-108,0
183,-304,65,0,0,756,-108,0
184,-304,65,0,0,756,-108,0
185,-304,65,0,0,756,-108,0
186,-304,65,0,0,756,-108,0
187,-304,65,0,0,756,-108,0
188,-304,65,0,0,756,-108,0
189,-304,65,0,0,756,-108,0
190,-304,65,0,0,756,-108,0
191,-304,65,0,0,756,-108,0
192,-304,65,0,0,756,-108,0
193,-304,65,0,0,756,-108,0
194,-304,65,0,0,756,-108,0
195,-304,65,0,0,756,-108,0
196,-304,65,0,0,756,-108,0
197,-304,65,0,0,756,-108,0
198,-304,65,0,0,756,-108,0
199,-304,65,0,0,756,-108,0
200,-304,65,0,0,756,-108,0
201,-304,65,0,0,756,-108,0
