t,x,y,fh,fv,r,s,frame:
0,22,53,0,0,0,0,0
1,22,53,0,0,0,0,0
2,23,54,0,0,0,0,0
3,23,54,0,0,0,0,0
4,23,55,0,0,0,0,0
5,23,56,0,0,0,0,0
6,23,57,0,0,0,0,0
7,20,58,0,0,0,0,0
8,18,60,0,0,0,0,0
9,17,61,0,0,0,0,0
10,16,62,0,0,0,0,0
11,16,62,0,0,0,0,0
12,15,63,0,0,0,0,0
13,12,65,0,0,0,0,0
14,10,66,0,0,0,0,0
15,8,67,0,0,0,0,0
16,6,69,0,0,0,0,0
17,6,69,0,0,0,0,0
18,6,69,0,0,0,0,0
19,6,69,0,0,0,0,0
20,6,69,0,0,0,0,0
21,4,70,0,0,0,0,0
22,2,71,0,0,0,0,0
23,0,72,0,0,0,0,0
24,-1,72,0,0,0,0,0
25,-3,73,0,0,0,0,0
26,-4,74,0,0,0,0,0
27,-6,75,0,0,0,0,0
28,-7,75,0,0,0,0,0
29,-9,76,0,0,0,0,0
30,-11,76,0,0,0,0,0
31,-13,76,0,0,0,0,0
32,-15,76,0,0,0,0,0
33,-17,76,0,0,0,0,0
34,-21,76,0,0,0,0,0
35,-24,76,0,0,0,0,0
36,-27,76,0,0,0,0,0
37,-28,76,0,0,0,0,0
38,-29,76,0,0,0,0,0
39,-29,76,0,0,0,0,0
40,-29,76,0,0,0,0,0
41,-29,76,0,0,0,0,0
42,-29,76,0,0,0,0,0
43,-30,76,0,0,0,0,0
44,-32,76,0,0,0,0,0
45,-33,76,0,0,0,0,0
46,-33,76,0,0,0,0,0
47,-33,76,0,0,0,0,0
48,-33,76,0,0,0,0,0
49,-33,76,0,0,0,0,0
50,-33,76,0,0,0,0,0
51,-34,75,0,0,0,0,0
52,-35,74,0,0,0,0,0
53,-36,73,0,0,0,0,0
54,-36,72,0,0,0,0,0
55,-36,71,0,0,0,0,0
56,-37,70,0,0,0,0,0
57,-37,70,0,0,0,0,0
58,-37,69,0,0,0,0,0
59,-37,68,0,0,0,0,0
60,-37,68,0,0,0,0,0
61,-37,67,0,0,0,0,0
62,-37,66,0,0,0,0,0
63,-37,64,0,0,0,0,0
64,-36,63,0,0,0,0,0
65,-35,61,0,0,0,0,0
66,-34,58,0,0,0,0,0
67,-33,57,0,0,0,0,0
68,-32,56,0,0,0,0,0
69,-30,55,0,0,0,0,0
70,-28,53,0,0,0,0,0
71,-27,53,0,0,0,0,0
72,-26,53,0,0,0,0,0
73,-25,52,0,0,0,0,0
74,-24,52,0,0,0,0,0
75,-23,51,0,0,0,0,0
76,-22,50,0,0,0,0,0
77,-21,50,0,0,0,0,0
78,-18,49,0,0,0,0,0
79,-16,48,0,0,0,0,0
80,-13,47,0,0,0,0,0
81,-12,47,0,0,0,0,0
82,-11,47,0,0,0,0,0
83,-9,46,0,0,0,0,0
84,-7,45,0,0,0,0,0
85,-5,44,0,0,0,0,0
86,-2,44,0,0,0,0,0
87,-1,43,0,0,0,0,0
